Title,Authors
"Differentially Private Spiking Variational Autoencoder","Srishti Yadav, Anshul Pundhir, Tanish Goyal, Balasubramanian Raman, Sanjeev Kumar"
"Multi-resolution Local extrema patterns using discrete wavelet transform","Manisha Verma, Balasubramanian Raman, Subrahmanyam Murala"
"Mobile worms and viruses","Nidhi Goel, Balasubramanian Raman, Indra Gupta"
"Compass local binary patterns for gender recognition of facial photographs and sketches","Bhavik Patel, RP Maheshwari, Balasubramanian Raman"
"Computing the curve-skeletons of general 3D objects","Xiaosong Yuan, Deborah Silver, Balasubramanian Raman"
"Generation of cancelable iris templates via randomized bit sampling","Debanjan Sadhya, Balasubramanian Raman"
"A vision based motion estimation in underwater images","Pushpendra Kumar, Sanjeev Kumar, R Balasubramanian"
"Computer Vision and Image Processing: 5th International Conference, CVIP 2020, Prayagraj, India, December 4-6, 2020, Revised Selected Papers, Part III","Satish Kumar Singh, Partha Roy, Balasubramanian Raman, P Nagabhushan"
"An Approach to Detect Hotspots with INSAT-3D Data","Shashi Vardhan Naidu Tasneem Ahmed, Dharmendra Singh, Raman Balasubramanian"
"Development of Land Surface Monitoring Algorithms for Satellite Images","Tasneem Ahmed"
"A chaotic system based fragile watermarking scheme for image tamper detection","Sanjay Rawat, Balasubramanian Raman"
"Wavelet based directional local extrema patterns for image retrieval on large image database","Manisha Verma, Balasubramanian Raman, Subrahmanyam Murala"
"Reconstruction of Quadratic Curves in 3-D from Two or more Arbitrary Perspective Views: Simulation Studies San Jose","S Kumar, N Sukavanam, R Balasubramanian"
"A relevance feedback-based learner for image retrieval using SIFT descriptors","Subrahmanyam Murala, RP Maheshwari, R Balasubramanian"
"Subrahmanyam Murala","RP Maheshwari, R Balasubramanian"
"Towards interpretable facial emotion recognition","Sarthak Malik, Puneet Kumar, Balasubramanian Raman"
"Recent Advances and Future Perspectives","Pradeep Singh, Balasubramanian Raman"
"Sign and magnitude of local patterns for image indexing and retrieval","Murala Subrahmanyam, RP Maheshwari, R Balasubramanian"
"Binary tree based linear time fingerprint matching","Mayur D Jain, S Nalin Pradeep, C Prakash, Balasubramanian Raman"
"Sub-scene target detection and recognition using deep learning convolution neural networks","Suresh Merugu, Kamal Jain, Anshul Mittal, Balasubramanian Raman"
"An approach to detect hotspots with INSAT-3D data","Tasneem Ahmed, Shashi Vardhan Naidu, Dharmendra Singh, Raman Balasubramanian"
"Real-time earthquake magnitude prediction using designed machine learning ensemble trained on real and CTGAN generated synthetic data","Anushka Joshi, Balasubramanian Raman, C Krishna Mohan"
"A fragile watermarking scheme exploiting neural tree for image tamper detection","Asha Rani, Balasubramanian Raman, Sanjeev Kumar"
"A robust security framework for 3D images","Gaurav Bhatnagar, Jonathan Wu, Balasubramanian Raman"
"Robust watermarking scheme based on multiresolution fractional Fourier transform","Gaurav Bhatnagar, Balasubramanian Raman"
"Speech-Based Automatic Prediction of Interview Traits","Deepak Kumar, Balasubramanian Raman"
"Transformer Architectures","Pradeep Singh, Balasubramanian Raman"
"Segmentation of ischemic stroke lesion from 3d mr images using random forest","Anjali Gautam, Balasubramanian Raman"
"Automatic segmentation of intracerebral hemorrhage from brain CT images","Anjali Gautam, Balasubramanian Raman"
