Faculty Name,Citation Link
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:9ZlFYXVOiuMC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:sszUF3NjhM4C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:CNPyR2KL9-0C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:pRWBApOjXDcC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:PoWvk5oyLR8C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:NxmKEeNBbOMC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:NU-BerS4NX4C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:RuPIJ_LgqDgC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:4X0JR2_MtJMC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:-mN3Mh-tlDkC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:oldoQiaHq2UC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&citation_for_view=QU2O6JMAAAAJ:XiSMed-E-HIC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:zYLM7Y9cAGgC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:PVjk1bu6vJQC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:idthP5jqfYAC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:eFf2swCANGcC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:FAceZFleit8C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:_FM0Bhl9EiAC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:ALROH1vI_8AC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:Y0pCki6q_DkC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:EsEWqaRxkBgC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:QYdC8u9Cj1oC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:5LPo_wSKItgC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:e84hm74t-eoC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:DkZNVXde3BIC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&citation_for_view=QU2O6JMAAAAJ:hqOjcs7Dif8C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:HeT0ZceujKMC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:aDl3D7KC1E4C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:kRWSkSYxWN8C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:XoXfffV-tXoC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:XDrR66g3YHsC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:8RAEygVn5_EC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:AXPGKjj_ei8C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:WF5omc3nYNoC
